module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
BMad Method,bmad-prfaq,PRFAQ Challenge,WB,Working Backwards guided experience to forge and stress-test your product concept to ensure you have a great product that users will love and need through the PRFAQ gauntlet to determine feasibility and alignment with user needs. alternative to product brief.,,-H,1-analysis,,,false,planning_artifacts,prfaq document
BMad Method,bmad-prd,Create Edit and Review PRD,PRD,"Facilitated PRD workflow — create a new PRD via coached discovery, update an existing one against a change signal, or validate a finished PRD against a checklist with an HTML findings report.",,,2-planning,bmad-product-brief,,true,planning_artifacts,prd
BMad Method,bmad-ux,Create UX,CU,"Guidance through realizing the plan for your UX, strongly recommended if a UI is a primary piece of the proposed project.",,,2-planning,bmad-prd,,false,planning_artifacts,ux design
BMad Method,bmad-architecture,Architecture,CA,Offer once requirements exist (a PRD or spec; plus UX if present) and the user is ready to move from what to how. Also offer any time independently-built parts risk diverging. Produces the architecture spine: the invariants that keep features epics and stories consistent. Comes before epics and stories and scales from a quick spine to a full architecture (brownfield: ratifies the existing codebase).,,,3-solutioning,,,true,planning_artifacts,architecture
BMad Method,bmad-create-epics-and-stories,Create Epics and Stories,CE,,,,3-solutioning,bmad-architecture,,true,planning_artifacts,epics and stories
BMad Method,bmad-check-implementation-readiness,Check Implementation Readiness,IR,Ensure PRD UX Architecture and Epics Stories are aligned.,,,3-solutioning,bmad-create-epics-and-stories,,true,planning_artifacts,readiness report
BMad Method,bmad-sprint-planning,Sprint Planning,SP,Kicks off implementation by producing a plan the implementation agents will follow in sequence for every story.,,,4-implementation,,,true,implementation_artifacts,sprint status
BMad Method,bmad-sprint-status,Sprint Status,SS,Anytime: Summarize sprint status and route to next workflow.,,,4-implementation,bmad-sprint-planning,,false,,
BMad Method,bmad-create-story,Create Story,CS,Story cycle start: Prepare first found story in the sprint plan that is next or a specific epic/story designation.,create,,4-implementation,bmad-sprint-planning,bmad-create-story:validate,true,implementation_artifacts,story
BMad Method,bmad-create-story,Validate Story,VS,Validates story readiness and completeness before development work begins.,validate,,4-implementation,bmad-create-story:create,bmad-dev-story,false,implementation_artifacts,story validation report
BMad Method,bmad-dev-story,Dev Story,DS,Story cycle: Execute story implementation tasks and tests then CR then back to DS if fixes needed.,,,4-implementation,bmad-create-story:validate,,true,,
BMad Method,bmad-code-review,Code Review,CR,Story cycle: If issues back to DS if approved then next CS or ER if epic complete.,,,4-implementation,bmad-dev-story,,false,,
BMad Method,bmad-checkpoint-preview,Checkpoint,CK,Guided walkthrough of a change from purpose and context into details. Use for human review of commits branches or PRs.,,,4-implementation,,,false,,
BMad Method,bmad-qa-generate-e2e-tests,QA Automation Test,QA,Generate automated API and E2E tests for implemented code. NOT for code review or story validation — use CR for that.,,,4-implementation,bmad-dev-story,,false,implementation_artifacts,test suite
BMad Method,bmad-retrospective,Retrospective,ER,Optional at epic end: Review completed work lessons learned and next epic or if major issues consider CC.,,,4-implementation,bmad-code-review,,false,implementation_artifacts,retrospective
BMad Method,bmad-document-project,Document Project,DP,Analyze an existing project to produce useful documentation.,,,anytime,,,false,project-knowledge,*
BMad Method,bmad-generate-project-context,Generate Project Context,GPC,Scan existing codebase to generate a lean LLM-optimized project-context.md. Essential for brownfield projects.,,,anytime,,,false,output_folder,project context
BMad Method,bmad-quick-dev,Quick Dev,QQ,Unified intent-in code-out workflow: clarify plan implement review and present.,,,anytime,,,false,implementation_artifacts,spec and project implementation
BMad Method,bmad-correct-course,Correct Course,CC,Navigate significant changes. May recommend start over update PRD redo architecture sprint planning or correct epics and stories.,,,anytime,,,false,planning_artifacts,change proposal
BMad Method,bmad-agent-tech-writer,Write Document,WD,"Describe in detail what you want, and the agent will follow documentation best practices. Multi-turn conversation with subprocess for research/review.",write,,anytime,,,false,project-knowledge,document
BMad Method,bmad-agent-tech-writer,Update Standards,US,Update agent memory documentation-standards.md with your specific preferences if you discover missing document conventions.,update-standards,,anytime,,,false,_bmad/_memory/tech-writer-sidecar,standards
BMad Method,bmad-agent-tech-writer,Mermaid Generate,MG,Create a Mermaid diagram based on user description. Will suggest diagram types if not specified.,mermaid,,anytime,,,false,planning_artifacts,mermaid diagram
BMad Method,bmad-agent-tech-writer,Validate Document,VD,Review the specified document against documentation standards and best practices. Returns specific actionable improvement suggestions organized by priority.,validate,[path],anytime,,,false,planning_artifacts,validation report
BMad Method,bmad-agent-tech-writer,Explain Concept,EC,Create clear technical explanations with examples and diagrams for complex concepts.,explain,[topic],anytime,,,false,project_knowledge,explanation
Core,_meta,,,,,,,,,false,https://docs.bmad-method.org/llms.txt,
Core,bmad-brainstorming,Brainstorming,BSP,Use early in ideation or when stuck generating ideas.,,,anytime,,,false,{output_folder}/brainstorming,brainstorming session
Core,bmad-party-mode,Party Mode,PM,Orchestrate multi-agent discussions when you need multiple perspectives or want agents to collaborate.,,,anytime,,,false,,
Core,bmad-help,BMad Help,BH,,,,anytime,,,false,,
Core,bmad-index-docs,Index Docs,ID,Use when LLM needs to understand available docs without loading everything.,,,anytime,,,false,,
Core,bmad-shard-doc,Shard Document,SD,Use when doc becomes too large (>500 lines) to manage effectively.,,[path],anytime,,,false,,
Core,bmad-editorial-review-prose,Editorial Review - Prose,EP,Use after drafting to polish written content.,,[path],anytime,,,false,report located with target document,three-column markdown table with suggested fixes
Core,bmad-editorial-review-structure,Editorial Review - Structure,ES,Use when doc produced from multiple subprocesses or needs structural improvement.,,[path],anytime,,,false,report located with target document,
Core,bmad-review-adversarial-general,Adversarial Review,AR,"Use for quality assurance or before finalizing deliverables. Code Review in other modules runs this automatically, but also useful for document reviews.",,[path],anytime,,,false,,
Core,bmad-review-edge-case-hunter,Edge Case Hunter Review,ECH,Use alongside adversarial review for orthogonal coverage — method-driven not attitude-driven.,,[path],anytime,,,false,,
Core,bmad-spec,Spec,SP,"Use to distill any intent input (brief, PRD, transcript, brain dump, design folder, mixed multi-source) into a succinct, no-fluff SPEC.md contract + companions that downstream work derives from. Locks the WHAT before the HOW. Works for software, game design, research, editorial, policy, business, anything intent-bearing. Validation mode also available.",,[path],anytime,,,false,{output_folder}/specs/spec-{slug},SPEC.md + companion files
Core,bmad-customize,BMad Customize,BC,"Use when you want to change how an agent or workflow behaves — add persistent facts, swap templates, insert activation hooks, or customize menus. Scans what's customizable, picks the right scope (agent vs workflow), writes the override to _bmad/custom/, and verifies the merge. No TOML hand-authoring required.",,,anytime,,,false,{project-root}/_bmad/custom,TOML override files
Core,bmad-forge-idea,Forge Idea,FI,"Use to pressure-test and harden an idea — software, business, creative, research, or life — until it proves out, hardens into something buildable, or dies cheaply. Persona-driven interrogation; optional handoff to bmad-spec or bmad-quick-dev.",,,anytime,,,false,{output_folder}/forge,refined-idea brief (optional)
Rollun,_meta,,,,,,,,,false,,
Rollun,rollun-party-mode,Tool-Enabled Party Mode,PTY,Tool-enabled variant of bmad-party-mode — same roundtable but EVERY agent spawns as a real subagent WITH read-only tool access by default so each can call rollun-knowledge or the source specialists (nexus/sql/es/lightrag) or other subagents and ground its own perspective instead of guessing. Both stock BMAD agents and rollun agents get tools — the old rollun-only restriction is gone. Opt a seat out with tools=false in the roster or run the whole room no-tools with --no-tools. A shared session-knowledge.md cache lets agents read facts the room already gathered and write new ones back so nobody re-queries the same thing. All access stays strictly read-only — selects searches metadata bounded — never a write.,,,,,,false,,tool-enabled multi-agent discussion with read-only source provenance
Rollun,rollun-remote-party-mode,Remote Party Mode,RPM,Remote variant of bmad-party-mode — the same roundtable but each voice is a remote VM reached through an MCP server instead of a spawned subagent. The orchestrator broadcasts the round's prompt to all participating VMs in parallel over the MCP waits for each reply and presents them in full attributing each by which VM answered. Agnostic to what runs on a VM (any model or agent — it just takes a message and returns one) and to how many there are (two five ten — discovered via the MCP at runtime or pinned in config). The MCP tool names are config-driven or discovered so it adapts to whatever VM-control MCP you wire in later. No local/solo testing modes and none of the brainstorming machinery — just the live human-driven roundtable across remote machines.,,,,,,false,,remote multi-machine roundtable discussion — each voice a remote VM answering over the MCP
Rollun,rollun-init,Init Rollun,INI,Bootstrap a freshly-installed rollun module — wire the MCP servers (runs rollun-mcp-setup) and install rollun's BMad-skill overrides into _bmad/custom (e.g. wire bmad-product-brief to the rollun sources) and seat the party-mode roundtable agents (Clean Architecture reviewer + Rollun Knowledge) by merging them into config.toml. Closes the two gaps the BMad installer leaves; run once after install.,,,0-setup,,rollun-knowledge,false,project-root,.mcp.json and _bmad/custom overrides + roundtable roster agents
Rollun,rollun-mcp-setup,Setup MCP Servers,MCP,Write a project-scoped .mcp.json from a configured server registry (nexus es sql github trello clockify) so the rollun source skills have their MCP connections. Secrets via ${ENV} placeholders never literal; merges existing servers. Run once after install.,,,0-setup,,,false,project-root,.mcp.json with project MCP servers
Rollun,rollun-update,Update Rollun,UPD,Composer-update-style refresh of an already-installed rollun module — does a scoped clean of only the managed bmad-* and rollun-* skill dirs (foreign skills and .mcp.json secrets and _bmad/custom overrides left untouched) then runs the native incremental installer (bmad-method install --action update) with the module set and channels reconstructed from manifest.yaml so nothing is pruned then invokes rollun-init to re-stamp the wiped module version. Replaces retyping the long nuke-and-reinstall command. Reports the installed-vs-latest tag delta. --check previews; --no-init skips the re-stamp.,,,0-setup,,rollun-init,false,project-root,refreshed managed skills + re-stamped rollun module version
Rollun,rollun-knowledge,Ask Knowledge,KNW,Single front door for cross-source questions — holds the routing map (which processes exist which service lives where which source answers) and delegates to the read-only specialists rollun-nexus (code wiring/impact) rollun-sql-prod (production relational data shapes) rollun-sql-local (local/dev relational data) rollun-es (search and log shapes); fans them out parallel or chained reconciles the digests and returns one synthesized answer with cross-source provenance. Never queries an MCP itself. Universal — discovers connected sources and their coverage at runtime.,,,1-analysis,,,false,,synthesized cross-source answer with provenance
Rollun,rollun-nexus,Query GitNexus,NXS,Answer code-structure and impact questions from the GitNexus code knowledge graph via the nexus MCP (read-only): call chains callers/callees blast-radius API routes response-shape contracts cross-repo impact uncommitted-change analysis.,,,1-analysis,,,false,,code-graph digest with provenance
Rollun,rollun-sql-prod,Query Prod SQL,PSQ,Answer data-shape and live-value questions from the rollun PRODUCTION relational database via the hosted read-only mysql MCP (mcp.rollun.net — several databases across several hosts): real schemas row volumes distributions sample rows current values and test-fixture shapes. list_databases first then query(database=…). Universal — discovers databases and schema at runtime.,,,1-analysis,,,false,,production sql data digest with provenance
Rollun,rollun-sql-local,Query Local SQL,LSQ,Answer data-shape questions from the project's LOCAL relational database via a local read-only SQL MCP (e.g. mysql-local-readonly): real schemas row volumes distributions sample rows and test-fixture shapes. Universal — discovers the schema at runtime. For the production database use rollun-sql-prod.,,,1-analysis,,,false,,local sql data digest with provenance
Rollun,rollun-es,Query Elasticsearch,ELS,Answer search-behavior and document-shape questions from Elasticsearch via the es MCP (read-only): indices mappings document shapes search results aggregations. Universal — discovers indices at runtime.,,,1-analysis,,,false,,elasticsearch digest with provenance
Rollun,rollun-lightrag,Query LightRAG,RAG,Answer questions from the project's LightRAG knowledge base via the lightrag MCP (read-only) — a graph-plus-vector RAG over ingested docs/runbooks/wikis. Pick the retrieval mode (naive/local/global/hybrid/mix) cap top_k and return a digest grounded in the source documents and entities. Universal — discovers the ingested corpus at runtime.,,,1-analysis,,,false,,knowledge-base digest with provenance
Rollun,rollun-github,Query GitHub,GHB,Answer questions from rollun's GitHub repositories via the github MCP (read-only) — cross-repo code search file contents commit history issues and pull requests. Use to find where a class/function lives across repos what PRs exist for a topic open issues in a service and commit history for a file. Complements rollun-nexus with GitHub-native search across ALL repos including those not yet indexed by Nexus. Universal — discovers accessible orgs and repos at runtime.,,,1-analysis,,,false,,github search digest with provenance
Rollun,rollun-trello,Query Trello,TRL,Read and (with confirmation) manage rollun's Trello boards via the trello MCP — find cards by free-form search read a card's full context (description comments checklists members labels attachments) list cards in a list or board and inspect board/list/member activity. Read-first and bounded; every create/update/comment/move/archive/delete runs only after explicit per-call confirmation and a card's status is always reported (🟢 active vs 📦 archived). Universal — discovers boards lists and labels at runtime.,,,1-analysis,,,false,,trello card digest with status and provenance
Rollun,rollun-clockify,Query Clockify,CLK,Answer time-tracking questions from rollun's Clockify workspace via the clockify MCP — who logged time on what hours by project/client/task over a period running timers time-entry detail and summary rollups. Read-first and bounded (always a date range); any write (start/stop a timer add/edit an entry) runs only after explicit per-call confirmation. Universal — discovers workspaces projects and users at runtime.,,,1-analysis,,,false,,clockify time digest with scope and provenance
Rollun,rollun-clean-arch-review,Clean Arch Review,CAR,Review a PHP codebase against classic Clean Architecture (Martin's Entities/Use-Cases/Interface-Adapters/Frameworks layers governed by The Dependency Rule) and Hexagonal Ports & Adapters then write a graded report. Checks inward-only dependency direction layer boundaries by namespace/folder strict domain isolation (no framework/ORM/HTTP/infra in the domain) a leakage-signal catalog acyclic dependencies (ADP) and Martin's package metrics Ca/Ce/I/A/D with SDP/SAP/CCP/CRP/REP. Also runs a conservative convention and consistency pass — folder and file naming file-format uniformity and cross-module naming consistency (the same concept named the same way in every module) — measured against the project's own dominant or configured convention never a hardcoded style. Runs the project's real tools when present (Deptrac PHPArkitect phpat Pest-arch PhpMetrics phpcs phpinsights) grading those PROVEN else reads code itself grading INFERRED. Reads the code as a skeptic guilty-until-proven-clean stress-testing for inconsistency and leakage while still grading every finding PROVEN or INFERRED honestly. Produces a 0-100 score with per-category breakdown a severity-graded findings list and a prioritized refactoring plan with CI-enforcement suggestions. Review-only — writes only the report never edits code. Universal — the layer map is configured or autodetected at runtime never hardcoded.,,,1-analysis,,,false,_bmad-output,graded clean-architecture report with score findings and refactoring plan
Rollun,rollun-team-brainstorming,Team Brainstorming,TBR,Team brainstorming that REUSES two skills by CALLING them never copying — it runs the standard bmad-brainstorming for the discipline (its technique library anti-bias domain pivots ~100+-idea goal idea format organize pass and session artifact) and swaps the one seam where stock waits for the HUMAN to develop each idea for a rollun-party-mode panel round — so a whole team of tool-enabled BMAD subagents (the resolved roster plus the rollun-knowledge seat) generates and pressure-tests the ideas by SELF-GROUNDING read-only against our live sources (nexus/sql/es/lightrag via rollun-knowledge) instead of interviewing you. The human is co-creator at the phase gates answering at most a few decision-ready questions (each with concrete options and the panel's recommendation) never an opening interview never one-per-agent — that human-at-the-gates control is what separates it from the fully-autonomous rollun-remote-brainstorming and from the solo-human bmad-brainstorming. The per-seat answer ladder (know → ground via rollun-knowledge → assume trivia → ask the rest) is rollun-party-mode's; this skill consolidates the room's significant forks into at most 3 decision-ready questions per gate. Divergence grounds to SPARK ideas while convergence grounds to JUDGE feasibility; rollun-party-mode's shared session-knowledge.md cache means nobody re-queries. Tools are read-only and ON by default for every seat (opt out per seat with tools=false or per run with --no-tools); --guided restores the classic human-develops-each-idea style; --solo and --no-brainstorm-skill / --no-party-skill are inline fallbacks for when a called skill is unavailable. Optionally point it at a target repo with --target to ground the session read-only. Writes a brainstorming ideas artifact (each idea marked grounded-with-provenance assumption or opinion) plus the assumptions made on the human's behalf and the open questions and can hand off to bmad-product-brief. Strictly read-only. This is the brainstorming engine rollun-clean-arch-decompose reuses by calling.,,,1-analysis,,,false,planning_artifacts,brainstorming session ideas artifact (grounded vs opinion) optionally handed to bmad-product-brief
Rollun,rollun-clean-arch-decompose,Brainstorm Arch to Clean Arch,CAD,Work out a service's architecture as a BRAINSTORMING session by REUSING — calling never copying — rollun-team-brainstorming (party-mode + structured ideation) and decompose it into Clean Architecture to prepare an almost-ready brief; never refactors. A four-stage conveyor — (0) analyze the target read-only across every source (code + git nexus sql es lightrag through rollun-knowledge) and write a code-analysis artifact + a Frame then (1) CALL rollun-team-brainstorming to work the architecture out in party-mode spelling out every entity value-object use-case port and interface how the layers split and HOW each layer is tested recording what governs into the Normlayer registers (glossary entities invariants assumptions decisions open-questions detail-backlog) then (2) converge ring by ring innermost-out (Entities → domain skeleton → Application → Infrastructure → Framework) under The Dependency Rule close the open questions and pass two gates then (3) lay it out as the FULL four-layer Normlayer profile — drafts (frame + sketches) · control (registers + change-protocol + roadmap) · product (architecture + full file/class tree with paired tests + test-plan + lifecycle + state-model + contracts) · guide — filled PROGRESSIVELY by the party-mode panel as it talks (cross-cutting ground G/A/Q/D first → then rings innermost-out reuse it) + ONE decomposition.md (sharded via bmad-shard-doc if large). THREE lanes are ALWAYS seated (injected if missing) — the ARCHITECT the CLEAN-ARCHITECTURE reviewer and the TEA Test Architect who signs off the test plan. Testing is worked out through the TEA agent + the stock bmad-testarch skills (test design ATDD framework traceability NFR) — never the rollun custom testing skill. Output is a near-complete brief — an as-is layer map graded PROVEN vs INFERRED + the registers + a to-be folder/file/class tree where every entity value-object use-case port and interface has its PAIRED test file (names only never bodies nothing scaffolded) + a per-layer test plan + a sliced migration roadmap. Read-only — it proposes never refactors and writes no code. Universal — the layer map is configured or autodetected at runtime never hardcoded.,,,1-analysis,,bmad-product-brief,false,_bmad-output,clean-architecture decomposition profile + ONE decomposition.md (analysis artifact + as-is layer map + control registers + to-be file/class tree with paired test files + per-layer test plan + migration roadmap) handed to bmad-product-brief
Rollun,rollun-remote-brainstorming,Remote Brainstorming,RBR,Autonomous remote brainstorming — a fork of bmad-brainstorming that replaces the human-answers-each-question step with a debate between two AI seats that argue every question to consensus while the orchestrator drives them and records the verdict. Reuses the rollun-party-mode communication-and-debate mechanism (cross-talk relay disagreement contrarian convergence) as the inner debate and adds the autonomous driver plus a pluggable seat backend — local subagents with no MCP (use to test) remote LLM terminals via a VM-control MCP when ready or solo for a smoke test. Seats are tool-enabled read-only so each grounds its own claims. Keeps the technique library the 100+ idea goal and the anti-bias pivots writes a brainstorming ideas artifact then hands off to bmad-product-brief and rollun-clean-arch-decompose. Universal — backend and MCP tools are config-driven or discovered at runtime never hardcoded.,,,1-analysis,,bmad-product-brief,false,planning_artifacts,brainstorming ideas artifact debated to consensus handed to bmad-product-brief
Rollun,rollun-coding-rules,Coding Rules,CDR,Apply rollun's PHP coding conventions when writing scaffolding or reviewing code — CQRS read/write split (Query+Fetcher vs Request+Handler) constructor-only DI with a factory per class and LoggerInterface last OpenAPI-First (Handler->REST->Controller) Value Objects module/test layout DataStore+RQL logging levels component-design principles and code-visibility rules for static analysis and semantic search. Full reference with templates in assets/coding-rules.md.,,,4-implementation,,rollun-testing,false,,applied conventions or review findings citing the rule
Rollun,rollun-testing,Testing Rules,TST,Apply rollun's testing conventions (Fowler 'Mocks Aren't Stubs' PHP+PHPUnit) when writing or reviewing tests — choose the right double (Dummy/Fake/Stub/Spy/Mock) pick state vs behaviour verification without mixing them structure Setup->Exercise->Verify->Teardown and weigh classical vs mockist TDD. Full reference with examples and cheat-sheet in assets/testing-guidelines.md.,,,4-implementation,rollun-coding-rules,,false,,applied test conventions or review findings citing the rule
Rollun,rollun-bmad-story-automator,Story Automator,SA,Automate BMAD story build cycle with TEA automation after dev-story before code-review and retrospective. Fork of bmad-story-automator with Rollun auto gate and standard bmad-story-automator-review.,,,4-implementation,bmad-sprint-planning,bmad-retrospective,false,implementation_artifacts,orchestration state and story commits
Test Architecture Enterprise,_meta,,,,,,,,,false,https://bmad-code-org.github.io/bmad-method-test-architecture-enterprise/llms.txt,
Test Architecture Enterprise,bmad-teach-me-testing,Teach Me Testing,TMT,Teach testing fundamentals through 7 sessions (TEA Academy).,,,0-learning,,,false,test_artifacts,progress file|session notes|certificate
Test Architecture Enterprise,bmad-testarch-test-design,Test Design,TD,Risk-based test planning.,,,3-solutioning,,bmad-testarch-framework,false,test_artifacts,test design document
Test Architecture Enterprise,bmad-testarch-framework,Test Framework,TF,Initialize production-ready test framework.,,,3-solutioning,bmad-testarch-test-design,bmad-testarch-ci,false,test_artifacts,framework scaffold
Test Architecture Enterprise,bmad-testarch-ci,CI Setup,CI,Configure CI/CD quality pipeline.,,,3-solutioning,bmad-testarch-framework,,false,test_artifacts,ci config
Test Architecture Enterprise,bmad-testarch-atdd,ATDD,AT,Generate red-phase acceptance test scaffolds before implementation.,,,4-implementation,bmad-create-story:create,bmad-dev-story,false,test_artifacts,atdd-checklist|red-phase acceptance tests
Test Architecture Enterprise,bmad-testarch-automate,Test Automation,TA,Expand test coverage.,,,4-implementation,bmad-testarch-atdd,,false,test_artifacts,test suite
Test Architecture Enterprise,bmad-testarch-test-review,Test Review,RV,Quality audit (0-100 scoring).,,,4-implementation,bmad-testarch-automate,,false,test_artifacts,review report
Test Architecture Enterprise,bmad-testarch-nfr,NFR Evidence Audit,NR,Audit non-functional requirement evidence.,,,4-implementation,bmad-testarch-automate,,false,test_artifacts,nfr report
Test Architecture Enterprise,bmad-testarch-trace,Traceability,TR,Coverage traceability and gate.,,,4-implementation,bmad-testarch-test-review,,false,test_artifacts,traceability matrix|gate decision
